outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
high_debt_burden,full,Logistic L2,0.18,0.6822089947089947,0.9356009070294785,0.7890610059284758,0.7926691729323309,0.6914927768860353,2063,961,2154,142
high_debt_burden,full,Logistic L2,0.19,0.6886729222520107,0.9319727891156463,0.7920601271921373,0.7971804511278195,0.7017656500802568,2055,929,2186,150
high_debt_burden,full,Logistic L2,0.2,0.6934281842818428,0.9283446712018141,0.7938724064378515,0.800187969924812,0.709470304975923,2047,905,2210,158
high_debt_burden,full,Logistic L2,0.21,0.6996563573883161,0.9233560090702948,0.7960899315738025,0.8039473684210526,0.719422150882825,2036,874,2241,169
high_debt_burden,full,Logistic L2,0.22,0.7068845618915159,0.9219954648526077,0.8002361739814996,0.8092105263157895,0.7293739967897271,2033,843,2272,172
high_debt_burden,full,Logistic L2,0.23,0.7127285513361463,0.9192743764172335,0.8029312735195088,0.8129699248120301,0.737720706260032,2027,817,2298,178
high_debt_burden,full,Logistic L2,0.24,0.7155019510464704,0.9147392290249433,0.8029458598726116,0.8139097744360902,0.7425361155698235,2017,802,2313,188
high_debt_burden,full,Logistic L2,0.25,0.7201145311381532,0.9124716553287981,0.8049609921984396,0.8167293233082706,0.7489566613162119,2012,782,2333,193
high_debt_burden,full,Logistic L2,0.26,0.7241254958528669,0.910657596371882,0.8067496986741663,0.8191729323308271,0.7544141252006421,2008,765,2350,197
high_debt_burden,full,Logistic L2,0.27,0.7292877906976745,0.9102040816326531,0.8097639701432319,0.8227443609022557,0.7608346709470305,2007,745,2370,198
high_debt_burden,full,Logistic L2,0.28,0.7341167829599706,0.9065759637188209,0.8112824675324675,0.825187969924812,0.7675762439807383,1999,724,2391,206
high_debt_burden,full,Logistic L2,0.29,0.7390497401633259,0.9029478458049887,0.8128189426413552,0.8276315789473684,0.7743178170144462,1991,703,2412,214
high_debt_burden,full,Logistic L2,0.3,0.7440989134507306,0.9006802721088435,0.814936397209684,0.8304511278195489,0.7807383627608346,1986,683,2432,219
high_debt_burden,full,Logistic L2,0.31,0.7489587277546383,0.8970521541950114,0.8163433759801898,0.8327067669172933,0.7871589085072231,1978,663,2452,227
high_debt_burden,full,Logistic L2,0.32,0.7535291873330789,0.8956916099773242,0.8184832159138002,0.8353383458646616,0.7926163723916533,1975,646,2469,230
high_debt_burden,full,Logistic L2,0.33,0.7568506368197607,0.8893424036281179,0.8177648040033361,0.8357142857142857,0.797752808988764,1961,630,2485,244
high_debt_burden,full,Logistic L2,0.34,0.7604045118630883,0.8866213151927438,0.8186767169179231,0.837218045112782,0.802247191011236,1955,616,2499,250
high_debt_burden,full,Logistic L2,0.35000000000000003,0.7653061224489796,0.8843537414965986,0.820534399326741,0.8396616541353383,0.8080256821829855,1950,598,2517,255
high_debt_burden,full,Logistic L2,0.36,0.7685295283392787,0.8793650793650793,0.8202199661590526,0.8402255639097744,0.8125200642054574,1939,584,2531,266
high_debt_burden,full,Logistic L2,0.37,0.7727635782747604,0.8775510204081632,0.8218305372690593,0.8422932330827068,0.8173354735152488,1935,569,2546,270
high_debt_burden,full,Logistic L2,0.38,0.7768828030608136,0.8748299319727891,0.8229522184300342,0.8439849624060151,0.8221508828250401,1929,554,2561,276
high_debt_burden,full,Logistic L2,0.39,0.7816185441236275,0.871655328798186,0.8241852487135507,0.8458646616541353,0.8276083467094703,1922,537,2578,283
high_debt_burden,full,Logistic L2,0.4,0.7846027846027847,0.8689342403628117,0.82461803313966,0.8468045112781954,0.831139646869984,1916,526,2589,289
