outcome,feature_set,model,precision,recall,threshold,average_precision
default,app,"Logistic (app, calibrated)",0.029586834733893556,0.9548022598870056,0.006370139632123957,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029612756264236904,0.9548022598870056,0.006439461853630031,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02970645104587801,0.9548022598870056,0.00659376986649714,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029737814534576808,0.9548022598870056,0.006665906803463989,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02974304822245688,0.9548022598870056,0.006719761075161772,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029764001408946812,0.9548022598870056,0.00672367498565931,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029769244319182667,0.9548022598870056,0.00672685521734393,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029821775189694723,0.9548022598870056,0.006752391478835248,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02982703847511472,0.9548022598870056,0.006811594202898551,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029832303618711385,0.9548022598870056,0.006826849733028223,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02984283948437224,0.9548022598870056,0.00689989559554777,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029858657243816256,0.9548022598870056,0.00691515112567744,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029869211735595615,0.9548022598870056,0.006984871480965124,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029885057471264367,0.9548022598870056,0.007029320529022043,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029893751125517738,0.9378531073446328,0.0070658383410677,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02990990990990991,0.9378531073446328,0.0070669682232754214,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029915300054063794,0.9378531073446328,0.007069864617821249,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.029920692141312183,0.9378531073446328,0.007200752641482125,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02992608617270597,0.9378531073446328,0.007204621465491031,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02993148214929679,0.9378531073446328,0.007220443327888249,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02999096657633243,0.9378531073446328,0.007308230296152654,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030012655939251492,0.9378531073446328,0.007324167312913865,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030023512389220474,0.9378531073446328,0.0073435120853534135,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030028943560057888,0.9378531073446328,0.007383185638326616,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030034376696218563,0.9378531073446328,0.007455596690890809,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030039811798769453,0.9378531073446328,0.0074697567706327826,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030045248868778282,0.9378531073446328,0.00751120105915769,0.053875242477803995
